Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric,79.75,-20.25,315,top
C2,C,C_0603_1608Metric,62.9432,-17.6932,315,top
C3,C,C_0603_1608Metric,44.5568,-18.3068,315,top
C4,C,C_0603_1608Metric,29.5,-11.75,315,top
C5,C,C_0603_1608Metric,11.5,-6,315,top
C6,C,C_0603_1608Metric,14,-31.75,135,top
C7,C,C_0603_1608Metric,32.8,-37.95,135,top
C8,C,C_0603_1608Metric,53,-39.25,135,top
C9,C,C_0603_1608Metric,70.5,-43,135,top
C10,C,C_0603_1608Metric,65,-48,315,top
C11,C,C_0603_1608Metric,47.5,-42,315,top
C12,C,C_0603_1608Metric,24,-39,315,top
C13,C,C_0603_1608Metric,19,-65.75,135,top
C14,C,C_0603_1608Metric,33.75,-58.5,135,top
C15,C,C_0603_1608Metric,50.5,-67.25,135,top
C20,C,C_0603_1608Metric,74.05,-62.91,315,top
C21,C,C_0603_1608Metric,37.25,-76,135,top
C22,C,C_0603_1608Metric,25.75,-74.25,315,top
C23,C,C_0603_1608Metric,56.14,-75.85,315,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.25,-24,135,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.5,-21.5,135,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,43,-22.25,135,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,27.8638,-15.601,135,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,10,-10,135,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,15.601,-27.8638,315,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,34.25,-34.25,315,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.75,-35.25,315,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72,-39,315,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,63.5,-51.75,135,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,46,-46,135,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,22.25,-43,135,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.5,-61.75,315,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.25,-54.75,315,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,52,-63.25,315,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.43,-66.65,135,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,39,-72,315,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,24,-78.25,135,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.67,-79.83,135,top
